exp,fold,seed,n_train,n_test,rmse,pearson,spearman,acc3,f1_macro3,params,train_minutes,git_sha,mae,per_complex_spearman,n_complexes_counted,dataset,note
E0a_rf_handcrafted__cluster,3,2,717,223,1.4617922069029554,0.35207785970854233,0.3427868665784375,0.5336322869955157,0.48895186604209223,125024,0.017,c2e7b01,0.9847162320849926,0.35348723127973647,23,skempi_abag,handcrafted/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,0,0,672,268,2.4369280567972296,0.4272664882196513,0.4415064056446705,0.39552238805970147,0.3055555555555555,125604,0.074,c2e7b01,1.7559407179716495,0.463831003321674,14,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,1,0,718,222,1.287149338233278,0.3344250502146735,0.4114875069594385,0.49099099099099097,0.26721496532817285,125604,0.074,c2e7b01,1.067611221410112,-0.014010023892368295,6,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,2,0,713,227,1.5506033620048147,0.0014857428542871948,0.03834423842574726,0.46255506607929514,0.24066424755747154,125604,0.074,c2e7b01,1.1401249983844983,0.14270077387105468,10,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,3,0,717,223,1.5852049000232986,0.041590078050403254,0.08420717172951202,0.31390134529147984,0.1831925825311522,125604,0.074,c2e7b01,1.1768566459074572,0.25734226646462627,23,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,0,1,672,268,2.4439621919884313,0.4099830967222989,0.420159637872237,0.3917910447761194,0.30644437540989267,125788,0.074,c2e7b01,1.7582113492755715,0.23858467835910846,14,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,1,1,718,222,1.321201449635012,0.2106297909035139,0.2876649557501872,0.4864864864864865,0.2581270068731258,125788,0.074,c2e7b01,1.096790941841468,-0.04396490549693831,6,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,2,1,713,227,1.5471168598099996,0.021096276544328163,0.05567047274109375,0.4581497797356828,0.23228057225210028,125788,0.074,c2e7b01,1.1390041843673857,0.12565263251062656,10,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,3,1,717,223,1.5694064148844629,0.0814855734364224,0.10884445022895191,0.32286995515695066,0.1955757253999033,125788,0.074,c2e7b01,1.1704941134564675,0.26515281529951534,23,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,0,2,672,268,2.454434589080082,0.3820713040041783,0.3835585437880779,0.39925373134328357,0.3150784958013874,125662,0.091,c2e7b01,1.7721293509257054,0.349413450026578,14,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,1,2,718,222,1.320723255975828,0.22346158871213084,0.2752251883820333,0.49099099099099097,0.26052631578947366,125662,0.091,c2e7b01,1.095841162464712,-0.06680757568407591,6,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,2,2,713,227,1.5299103524014546,0.06028814594119418,0.07594776327860883,0.4581497797356828,0.23882742725439354,125662,0.091,c2e7b01,1.1285272115966476,0.19562851120286304,10,skempi_abag,pooled_esm_mpnn/rf/cluster
E0c_rf_pooled_esm_mpnn__cluster,3,2,717,223,1.575604138919568,0.06087030992626935,0.06104699370890095,0.32286995515695066,0.1955757253999033,125662,0.091,c2e7b01,1.1739355060195098,0.31989470304404516,23,skempi_abag,pooled_esm_mpnn/rf/cluster
E0e_mean__cluster,0,0,672,268,2.58026442553004,,,0.376865671641791,0.18247515808491419,0,0.0,c2e7b01,1.8942749347930614,,14,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,1,0,718,222,1.365528309181763,,,0.49099099099099097,0.21953675730110775,0,0.0,c2e7b01,1.1523094965475233,,6,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,2,0,713,227,1.496758794033209,,,0.4713656387665198,0.21357285429141717,0,0.0,c2e7b01,1.1115334292220118,,10,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,3,0,717,223,1.611974992168522,,,0.3183856502242152,0.16099773242630386,0,0.0,c2e7b01,1.2780957796332715,,23,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,0,1,672,268,2.58026442553004,,,0.376865671641791,0.18247515808491419,0,0.0,c2e7b01,1.8942749347930614,,14,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,1,1,718,222,1.365528309181763,,,0.49099099099099097,0.21953675730110775,0,0.0,c2e7b01,1.1523094965475233,,6,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,2,1,713,227,1.496758794033209,,,0.4713656387665198,0.21357285429141717,0,0.0,c2e7b01,1.1115334292220118,,10,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,3,1,717,223,1.611974992168522,,,0.3183856502242152,0.16099773242630386,0,0.0,c2e7b01,1.2780957796332715,,23,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,0,2,672,268,2.58026442553004,,,0.376865671641791,0.18247515808491419,0,0.0,c2e7b01,1.8942749347930614,,14,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,1,2,718,222,1.365528309181763,,,0.49099099099099097,0.21953675730110775,0,0.0,c2e7b01,1.1523094965475233,,6,skempi_abag,handcrafted/mean/cluster
E0e_mean__cluster,2,2,713,227,1.496758794033209,,,0.4713656387665198,0.21357285429141717,0,0.0,c2e7b01,1.1115334292220118,,10,skempi_abag,handcrafted/mean/cluster
